id	dilemma_key	option_key	value	target
7017900602	land_enc_dilemma_battlefield_vmp	GEN_TARGET_NONE		default
7017900603	land_enc_dilemma_battlefield_vmp	VAR_CHANCE	100	default
7017900604	land_enc_dilemma_battlefield_vmp	VAR_FOLLOWUP_CHANCE	100	default
7017900605	land_enc_dilemma_battlefield_tmb	GEN_TARGET_NONE		default
7017900606	land_enc_dilemma_battlefield_tmb	VAR_CHANCE	100	default
7017900607	land_enc_dilemma_battlefield_tmb	VAR_FOLLOWUP_CHANCE	100	default
7017900608	land_enc_dilemma_smithy_reclamation	GEN_TARGET_NONE		default
7017900609	land_enc_dilemma_smithy_reclamation	VAR_CHANCE	100	default
7017900610	land_enc_dilemma_smithy_reclamation	VAR_FOLLOWUP_CHANCE	100	default
7017900611	land_enc_dilemma_smithy_defense	GEN_TARGET_NONE		default
7017900612	land_enc_dilemma_smithy_defense	VAR_CHANCE	100	default
7017900613	land_enc_dilemma_smithy_defense	VAR_FOLLOWUP_CHANCE	100	default
7017900614	land_enc_dilemma_smithy_visit_level_1	GEN_TARGET_NONE		default
7017900615	land_enc_dilemma_smithy_visit_level_1	VAR_CHANCE	100	default
7017900616	land_enc_dilemma_smithy_visit_level_1	VAR_FOLLOWUP_CHANCE	100	default
7017900617	land_enc_dilemma_smithy_visit_level_2	GEN_TARGET_NONE		default
7017900618	land_enc_dilemma_smithy_visit_level_2	VAR_CHANCE	100	default
7017900619	land_enc_dilemma_smithy_visit_level_2	VAR_FOLLOWUP_CHANCE	100	default
7017900620	land_enc_dilemma_smithy_visit_level_3	GEN_TARGET_NONE		default
7017900621	land_enc_dilemma_smithy_visit_level_3	VAR_CHANCE	100	default
7017900622	land_enc_dilemma_smithy_visit_level_3	VAR_FOLLOWUP_CHANCE	100	default
